Time	Open	High	Low	Close	Volume
2024-02-05 15:00:00	1.07551	1.07575	1.07493	1.07496	10248	2
2024-02-05 16:00:00	1.07496	1.07504	1.07362	1.07374	20806	2
2024-02-05 17:00:00	1.07374	1.0745	1.07352	1.0742	20546	2
2024-02-05 18:00:00	1.07419	1.07419	1.07231	1.07252	34696	4
2024-02-05 19:00:00	1.07252	1.07359	1.07246	1.07352	14290	3
2024-02-05 20:00:00	1.07353	1.07428	1.0734	1.07391	8769	2
2024-02-05 21:00:00	1.07392	1.07465	1.07374	1.0744	7776	2
2024-02-05 22:00:00	1.0744	1.07464	1.07421	1.07429	6898	2
2024-02-05 23:00:00	1.07429	1.0744	1.07367	1.07425	8445	2
2024-02-06 00:00:00	1.07425	1.07429	1.07393	1.07418	4177	2
2024-02-06 01:00:00	1.07418	1.07435	1.07391	1.07425	1731	22
2024-02-06 02:00:00	1.0743	1.07434	1.07408	1.0741	1685	9
2024-02-06 03:00:00	1.07409	1.07452	1.07409	1.07438	5016	3
2024-02-06 04:00:00	1.07439	1.07472	1.07415	1.07453	9032	2
2024-02-06 05:00:00	1.07454	1.0749	1.07438	1.07458	5000	2
2024-02-06 06:00:00	1.07459	1.07488	1.07434	1.07439	4318	3
2024-02-06 07:00:00	1.07439	1.07503	1.07434	1.07489	5969	3
2024-02-06 08:00:00	1.0749	1.07541	1.07486	1.07535	6368	2
2024-02-06 09:00:00	1.07533	1.07533	1.07482	1.07508	6111	3
2024-02-06 10:00:00	1.07509	1.07623	1.07507	1.07517	12403	3
2024-02-06 11:00:00	1.07517	1.076	1.0745	1.0746	16035	3
2024-02-06 12:00:00	1.07461	1.07473	1.07254	1.07291	17553	2
2024-02-06 13:00:00	1.07291	1.07363	1.07276	1.07291	9762	3
2024-02-06 14:00:00	1.07292	1.07429	1.07242	1.07385	10370	2
2024-02-06 15:00:00	1.07384	1.07392	1.07225	1.07358	10304	2
2024-02-06 16:00:00	1.0736	1.0744	1.0728	1.07304	21306	2
2024-02-06 17:00:00	1.07304	1.07436	1.07289	1.07402	31512	3
2024-02-06 18:00:00	1.07406	1.07483	1.07367	1.07432	26133	2
2024-02-06 19:00:00	1.07431	1.07533	1.0739	1.07505	16144	2
2024-02-06 20:00:00	1.07504	1.07552	1.07478	1.07509	19670	3
2024-02-06 21:00:00	1.07508	1.07556	1.07435	1.07539	12674	2
2024-02-06 22:00:00	1.07538	1.07546	1.07468	1.07493	15001	2
2024-02-06 23:00:00	1.07494	1.07574	1.07494	1.07566	7983	2
2024-02-07 00:00:00	1.07565	1.07565	1.07525	1.0754	3249	2
2024-02-07 01:00:00	1.07539	1.07556	1.07492	1.07532	10706	19
2024-02-07 02:00:00	1.07539	1.07567	1.07533	1.07566	1523	13
2024-02-07 03:00:00	1.07569	1.07593	1.07559	1.07589	4250	3
2024-02-07 04:00:00	1.07592	1.07649	1.07589	1.07634	7378	2
2024-02-07 05:00:00	1.07633	1.07656	1.07616	1.07636	6289	3
2024-02-07 06:00:00	1.07636	1.07665	1.07584	1.07588	4658	3
2024-02-07 07:00:00	1.07587	1.07601	1.07566	1.0759	4602	3
2024-02-07 08:00:00	1.07589	1.07644	1.07579	1.07626	5215	2
2024-02-07 09:00:00	1.07626	1.07655	1.07567	1.07611	7610	3
2024-02-07 10:00:00	1.07612	1.07728	1.07609	1.07725	13264	3
2024-02-07 11:00:00	1.07725	1.07734	1.07604	1.07627	17476	3
2024-02-07 12:00:00	1.07627	1.07709	1.07578	1.07693	14838	3
2024-02-07 13:00:00	1.07691	1.07708	1.07627	1.07641	15120	3
2024-02-07 14:00:00	1.0764	1.07739	1.07622	1.07709	12092	3
2024-02-07 15:00:00	1.07709	1.07752	1.0766	1.07737	15665	2
2024-02-07 16:00:00	1.07738	1.07838	1.07668	1.07701	18166	3
2024-02-07 17:00:00	1.07702	1.0778	1.07654	1.07713	27985	3
2024-02-07 18:00:00	1.07715	1.07798	1.07556	1.07566	33199	3
2024-02-07 19:00:00	1.07567	1.07712	1.07562	1.07677	22877	2
2024-02-07 20:00:00	1.07676	1.07678	1.07593	1.07648	15394	2
2024-02-07 21:00:00	1.07647	1.07736	1.07645	1.0771	15281	2
2024-02-07 22:00:00	1.07712	1.07753	1.07699	1.07719	10464	2
2024-02-07 23:00:00	1.07718	1.07742	1.07708	1.07726	7174	2
2024-02-08 00:00:00	1.07726	1.07748	1.07704	1.07704	3044	2
2024-02-08 01:00:00	1.07704	1.07734	1.07679	1.07723	3688	23
2024-02-08 02:00:00	1.07722	1.0777	1.07717	1.07754	3111	14
2024-02-08 03:00:00	1.07754	1.07795	1.07744	1.07779	4873	2
2024-02-08 04:00:00	1.07778	1.07798	1.07751	1.07786	12138	3
2024-02-08 05:00:00	1.07787	1.07832	1.07783	1.07827	7408	2
2024-02-08 06:00:00	1.07827	1.07848	1.07815	1.07823	5507	2
2024-02-08 07:00:00	1.07822	1.07883	1.07795	1.07799	6088	2
2024-02-08 08:00:00	1.07797	1.0784	1.07784	1.07826	5362	3
2024-02-08 09:00:00	1.07828	1.07863	1.07811	1.07839	6376	3
2024-02-08 10:00:00	1.07839	1.07889	1.07767	1.078	13410	2
2024-02-08 11:00:00	1.07801	1.0784	1.07684	1.07771	16568	2
2024-02-08 12:00:00	1.07772	1.07841	1.07734	1.07828	12611	2
2024-02-08 13:00:00	1.07829	1.07855	1.07711	1.07717	9704	2
2024-02-08 14:00:00	1.07715	1.0773	1.0761	1.07629	10164	2
2024-02-08 15:00:00	1.0763	1.07635	1.075	1.07568	14242	2
2024-02-08 16:00:00	1.0757	1.07621	1.07416	1.0744	27491	2
2024-02-08 17:00:00	1.0744	1.07674	1.07435	1.07647	20980	3
2024-02-08 18:00:00	1.0765	1.07675	1.07513	1.07611	23954	2
2024-02-08 19:00:00	1.07611	1.0774	1.07601	1.07732	8369	2
2024-02-08 20:00:00	1.07733	1.07765	1.07713	1.07734	10749	2
2024-02-08 21:00:00	1.07734	1.07827	1.07732	1.07766	14850	2
2024-02-08 22:00:00	1.07765	1.07785	1.07726	1.07747	9161	2
2024-02-08 23:00:00	1.07748	1.07799	1.07748	1.07777	7928	2
2024-02-09 00:00:00	1.07778	1.07786	1.0776	1.07769	3543	3
2024-02-09 01:00:00	1.07767	1.07787	1.0774	1.07755	2183	17
2024-02-09 02:00:00	1.07755	1.07778	1.07738	1.07776	2272	15
2024-02-09 03:00:00	1.07775	1.07786	1.07722	1.07729	5033	3
2024-02-09 04:00:00	1.07729	1.07786	1.07729	1.07743	6627	3
2024-02-09 05:00:00	1.07742	1.07782	1.07732	1.07761	5863	2
2024-02-09 06:00:00	1.07763	1.07775	1.07701	1.07708	6927	2
2024-02-09 07:00:00	1.07709	1.07726	1.07693	1.07711	3544	2
2024-02-09 08:00:00	1.0771	1.07738	1.07695	1.0771	3005	2
2024-02-09 09:00:00	1.07711	1.07755	1.07699	1.07745	4129	2
2024-02-09 10:00:00	1.07747	1.07827	1.07744	1.07801	11303	3
2024-02-09 11:00:00	1.07803	1.07847	1.07723	1.07726	15764	3
2024-02-09 12:00:00	1.07725	1.07768	1.0766	1.0767	14509	3
2024-02-09 13:00:00	1.07669	1.07701	1.07621	1.07666	11244	3
2024-02-09 14:00:00	1.07666	1.07731	1.07635	1.07716	12706	3
2024-02-09 15:00:00	1.07717	1.07765	1.0763	1.07672	14341	3
2024-02-09 16:00:00	1.07671	1.07949	1.07654	1.07831	42758	2
2024-02-09 17:00:00	1.0783	1.07951	1.07749	1.07816	33436	2
2024-02-09 18:00:00	1.07816	1.07898	1.07798	1.07863	25156	2
2024-02-09 19:00:00	1.07864	1.0788	1.07797	1.07816	19842	3
2024-02-09 20:00:00	1.07816	1.07866	1.07792	1.07855	7361	3
2024-02-09 21:00:00	1.07856	1.07908	1.07855	1.07866	6030	2
2024-02-09 22:00:00	1.07865	1.07877	1.07813	1.07825	3713	3
2024-02-09 23:00:00	1.07824	1.0788	1.07797	1.07863	3950	2
2024-02-12 01:00:00	1.07767	1.07861	1.07766	1.07839	1855	63
2024-02-12 02:00:00	1.07843	1.07983	1.07839	1.07979	10278	11
2024-02-12 03:00:00	1.0798	1.07997	1.07967	1.07986	8350	3
2024-02-12 04:00:00	1.07987	1.07987	1.07937	1.07957	4097	2
2024-02-12 05:00:00	1.07957	1.07978	1.07932	1.07948	4279	2
2024-02-12 06:00:00	1.07948	1.0797	1.07911	1.07918	4477	2
2024-02-12 07:00:00	1.07918	1.07939	1.07893	1.07904	2797	3
2024-02-12 08:00:00	1.07903	1.07944	1.07899	1.07914	2916	2
2024-02-12 09:00:00	1.07914	1.0793	1.07899	1.07914	2905	3
2024-02-12 10:00:00	1.07914	1.08055	1.07894	1.08031	9531	3
2024-02-12 11:00:00	1.0803	1.0803	1.07743	1.07753	15167	2
2024-02-12 12:00:00	1.07751	1.0778	1.07667	1.07691	9638	2
2024-02-12 13:00:00	1.07691	1.07787	1.07672	1.07766	9035	3
2024-02-12 14:00:00	1.07767	1.07777	1.0763	1.07693	11592	3
2024-02-12 15:00:00	1.07695	1.07735	1.07651	1.07697	10370	2
2024-02-12 16:00:00	1.07699	1.07736	1.0761	1.07638	17378	2
2024-02-12 17:00:00	1.07638	1.07741	1.07631	1.07722	15941	2
2024-02-12 18:00:00	1.07721	1.07724	1.07559	1.07674	13884	2
2024-02-12 19:00:00	1.07673	1.07774	1.07652	1.07732	15746	2
2024-02-12 20:00:00	1.07733	1.07823	1.07728	1.07823	9817	2
2024-02-12 21:00:00	1.07823	1.0786	1.07805	1.07812	8215	2
2024-02-12 22:00:00	1.07812	1.07829	1.07679	1.07693	8330	1
2024-02-12 23:00:00	1.07693	1.0775	1.07693	1.07742	4659	2
2024-02-13 00:00:00	1.07743	1.0775	1.07703	1.07706	2274	2
2024-02-13 01:00:00	1.07702	1.07751	1.07697	1.07724	4126	24
2024-02-13 02:00:00	1.07723	1.07727	1.07705	1.07717	1779	15
2024-02-13 03:00:00	1.07718	1.0773	1.07669	1.07727	4054	3
2024-02-13 04:00:00	1.07727	1.07744	1.07657	1.07668	4900	3
2024-02-13 05:00:00	1.07668	1.07668	1.07621	1.07642	3814	2
2024-02-13 06:00:00	1.07641	1.07647	1.07606	1.07617	4036	2
2024-02-13 07:00:00	1.07616	1.07641	1.07612	1.07637	2132	3
2024-02-13 08:00:00	1.07635	1.07678	1.07635	1.07669	2988	3
2024-02-13 09:00:00	1.07668	1.07724	1.07661	1.07704	3136	3
2024-02-13 10:00:00	1.07704	1.07776	1.07657	1.07712	13134	3
2024-02-13 11:00:00	1.07711	1.07745	1.07622	1.07675	14923	2
2024-02-13 12:00:00	1.07675	1.07693	1.07567	1.07666	9918	3
2024-02-13 13:00:00	1.07666	1.07761	1.07662	1.07722	17183	3
2024-02-13 14:00:00	1.07721	1.07818	1.0772	1.07778	11144	2
2024-02-13 15:00:00	1.07777	1.07865	1.07762	1.07854	9372	3
2024-02-13 16:00:00	1.07854	1.07985	1.07031	1.07084	45995	2
2024-02-13 17:00:00	1.07084	1.07237	1.07006	1.07179	42841	2
2024-02-13 18:00:00	1.0718	1.07267	1.0706	1.07166	36185	2
2024-02-13 19:00:00	1.07166	1.0722	1.07127	1.07192	18157	2
2024-02-13 20:00:00	1.07192	1.072	1.07122	1.07151	13458	2
2024-02-13 21:00:00	1.07152	1.07201	1.07076	1.07084	8507	2
2024-02-13 22:00:00	1.0708	1.07082	1.07005	1.07012	12204	2
2024-02-13 23:00:00	1.07012	1.071	1.07005	1.07073	8111	3
2024-02-14 00:00:00	1.07072	1.07101	1.0707	1.07079	3047	3
2024-02-14 01:00:00	1.0708	1.07116	1.07071	1.071	3089	19
2024-02-14 02:00:00	1.07101	1.07107	1.07078	1.07083	2278	6
2024-02-14 03:00:00	1.07083	1.07144	1.0706	1.07078	5721	3
2024-02-14 04:00:00	1.07078	1.07121	1.07032	1.07115	9166	2
2024-02-14 05:00:00	1.07116	1.07139	1.07087	1.07095	5604	3
2024-02-14 06:00:00	1.07095	1.07139	1.07081	1.07126	4725	3
2024-02-14 07:00:00	1.07124	1.07145	1.07093	1.07143	5258	3
2024-02-14 08:00:00	1.07144	1.0715	1.07116	1.07139	4244	3
2024-02-14 09:00:00	1.07139	1.07186	1.07138	1.07162	5839	3
2024-02-14 10:00:00	1.07163	1.07173	1.0705	1.07075	15036	3
2024-02-14 11:00:00	1.07074	1.07081	1.06949	1.07022	20554	3
2024-02-14 12:00:00	1.07021	1.07057	1.06962	1.07	13048	3
2024-02-14 13:00:00	1.07001	1.07043	1.06963	1.07036	9581	3
2024-02-14 14:00:00	1.07036	1.07103	1.06971	1.07078	9770	2
2024-02-14 15:00:00	1.07079	1.07103	1.0701	1.07056	9578	2
2024-02-14 16:00:00	1.07058	1.07167	1.07058	1.07086	19676	3
2024-02-14 17:00:00	1.07086	1.07229	1.07065	1.0716	28016	2
2024-02-14 18:00:00	1.0716	1.07252	1.07133	1.07212	25083	2
2024-02-14 19:00:00	1.07211	1.07344	1.07191	1.07339	17555	2
2024-02-14 20:00:00	1.07338	1.07338	1.07278	1.07306	13440	2
2024-02-14 21:00:00	1.07307	1.07338	1.07259	1.07269	9686	2
2024-02-14 22:00:00	1.07269	1.07293	1.07256	1.07281	8101	2
2024-02-14 23:00:00	1.07282	1.07288	1.07259	1.07276	7544	2
2024-02-15 00:00:00	1.07275	1.07284	1.0725	1.0725	3473	2
2024-02-15 01:00:00	1.0725	1.07285	1.07246	1.07272	4743	46
2024-02-15 02:00:00	1.07272	1.07322	1.07272	1.07319	1663	7
2024-02-15 03:00:00	1.07321	1.07354	1.07293	1.0734	4059	2
2024-02-15 04:00:00	1.0734	1.07351	1.07263	1.07283	8052	3
2024-02-15 05:00:00	1.07283	1.07315	1.07258	1.07292	6014	3
2024-02-15 06:00:00	1.07294	1.07305	1.0725	1.07256	4774	3
2024-02-15 07:00:00	1.07255	1.07267	1.07246	1.07259	4029	3
2024-02-15 08:00:00	1.0726	1.07321	1.0726	1.0729	4504	3
2024-02-15 09:00:00	1.0729	1.07338	1.07271	1.07309	6888	3
2024-02-15 10:00:00	1.07308	1.07413	1.07275	1.07328	13707	3
2024-02-15 11:00:00	1.07328	1.07375	1.07296	1.07308	18373	3
2024-02-15 12:00:00	1.07308	1.07368	1.07279	1.0733	12976	3
2024-02-15 13:00:00	1.07329	1.07368	1.07307	1.07345	11367	3
2024-02-15 14:00:00	1.07346	1.074	1.07338	1.07353	7491	2
2024-02-15 15:00:00	1.07354	1.07486	1.07353	1.07449	9310	2
2024-02-15 16:00:00	1.07449	1.07727	1.07426	1.07664	44713	2
2024-02-15 17:00:00	1.07659	1.07829	1.07591	1.07759	47069	3
2024-02-15 18:00:00	1.07761	1.07847	1.07585	1.07611	34108	2
2024-02-15 19:00:00	1.07611	1.07631	1.07552	1.07596	20436	2
2024-02-15 20:00:00	1.07597	1.07629	1.07565	1.07623	9531	2
2024-02-15 21:00:00	1.07623	1.07674	1.07605	1.07669	8356	2
2024-02-15 22:00:00	1.07669	1.07723	1.07665	1.07687	8529	2
2024-02-15 23:00:00	1.07687	1.07718	1.0768	1.07715	8328	2
2024-02-16 00:00:00	1.07715	1.07738	1.07703	1.07718	4158	2
2024-02-16 01:00:00	1.07718	1.07727	1.0768	1.07724	2395	24
2024-02-16 02:00:00	1.07726	1.07768	1.07717	1.07726	1525	12
2024-02-16 03:00:00	1.07726	1.07736	1.07612	1.07647	5924	2
2024-02-16 04:00:00	1.0765	1.07661	1.07611	1.07648	5711	4
2024-02-16 05:00:00	1.07648	1.0765	1.07599	1.07604	5715	3
2024-02-16 06:00:00	1.07604	1.0763	1.0759	1.07598	5113	3
2024-02-16 07:00:00	1.07599	1.07611	1.07573	1.07593	4171	3
2024-02-16 08:00:00	1.07591	1.07618	1.07583	1.07601	3300	3
2024-02-16 09:00:00	1.07601	1.07626	1.07586	1.07626	2939	3
2024-02-16 10:00:00	1.07626	1.07678	1.076	1.07606	6404	3
2024-02-16 11:00:00	1.07607	1.07713	1.07595	1.07699	6675	3
2024-02-16 12:00:00	1.07699	1.07717	1.0764	1.07661	13284	3
2024-02-16 13:00:00	1.07661	1.07708	1.07625	1.0768	7376	2
2024-02-16 14:00:00	1.07678	1.078	1.07667	1.07775	7988	2
2024-02-16 15:00:00	1.07773	1.0778	1.07675	1.0768	12101	2
2024-02-16 16:00:00	1.07679	1.07709	1.07319	1.07464	31421	2
2024-02-16 17:00:00	1.07465	1.07569	1.07409	1.07496	38060	3
2024-02-16 18:00:00	1.07494	1.07768	1.07483	1.07707	32518	4
2024-02-16 19:00:00	1.0771	1.07753	1.07656	1.07683	23104	3
2024-02-16 20:00:00	1.07681	1.07778	1.07626	1.07777	9638	2
2024-02-16 21:00:00	1.07778	1.07859	1.07739	1.0785	9618	2
2024-02-16 22:00:00	1.07851	1.07874	1.07754	1.0777	12132	1
2024-02-16 23:00:00	1.0777	1.07774	1.07729	1.07764	11649	2
2024-02-19 01:00:00	1.07718	1.07768	1.07718	1.07748	1650	37
2024-02-19 02:00:00	1.07744	1.0785	1.07744	1.0784	2455	10
2024-02-19 03:00:00	1.07838	1.07889	1.07836	1.07869	4694	3
2024-02-19 04:00:00	1.0787	1.0788	1.07782	1.07803	7820	2
2024-02-19 05:00:00	1.07802	1.07818	1.0778	1.07812	4048	2
2024-02-19 06:00:00	1.07811	1.07832	1.0775	1.07754	5295	2
2024-02-19 07:00:00	1.07753	1.07809	1.07748	1.07778	3222	2
2024-02-19 08:00:00	1.07779	1.07827	1.0777	1.07816	4005	2
2024-02-19 09:00:00	1.07817	1.07867	1.078	1.07863	4225	3
2024-02-19 10:00:00	1.07863	1.07894	1.07813	1.07826	7507	3
2024-02-19 11:00:00	1.0783	1.07873	1.07762	1.07781	11498	2
2024-02-19 12:00:00	1.07782	1.07833	1.07723	1.07747	11140	2
2024-02-19 13:00:00	1.07746	1.07787	1.07721	1.07752	7880	3
2024-02-19 14:00:00	1.07753	1.07817	1.07735	1.0777	7450	3
2024-02-19 15:00:00	1.07769	1.07794	1.07696	1.077	6112	2
2024-02-19 16:00:00	1.07704	1.07787	1.07675	1.077	6511	3
2024-02-19 17:00:00	1.077	1.07706	1.07631	1.07663	10159	2
2024-02-19 18:00:00	1.07664	1.07684	1.07621	1.07674	7844	3
2024-02-19 19:00:00	1.07673	1.07707	1.07626	1.07698	3963	2
2024-02-19 20:00:00	1.07697	1.07763	1.07694	1.07761	1835	3
2024-02-19 21:00:00	1.0776	1.07836	1.0776	1.07789	2836	3
2024-02-19 22:00:00	1.07791	1.07821	1.07779	1.07783	1841	3
2024-02-19 23:00:00	1.07786	1.07797	1.07775	1.07793	855	3
2024-02-20 00:00:00	1.07793	1.07823	1.07776	1.07785	1040	3
2024-02-20 01:00:00	1.0777	1.07801	1.07758	1.07784	2849	40
2024-02-20 02:00:00	1.07784	1.07799	1.07737	1.07754	2539	9
2024-02-20 03:00:00	1.07753	1.07769	1.07676	1.07696	6838	2
2024-02-20 04:00:00	1.07695	1.07712	1.07649	1.07659	11484	2
2024-02-20 05:00:00	1.07658	1.07669	1.07615	1.07669	6751	3
2024-02-20 06:00:00	1.07668	1.07685	1.07644	1.07678	5334	3
2024-02-20 07:00:00	1.07678	1.07709	1.07674	1.07689	4428	2
2024-02-20 08:00:00	1.0769	1.077	1.07651	1.07679	5202	2
2024-02-20 09:00:00	1.07679	1.07727	1.07673	1.07708	5874	3
2024-02-20 10:00:00	1.07708	1.07748	1.07674	1.07697	12458	3
2024-02-20 11:00:00	1.07695	1.07777	1.07688	1.07758	16016	2
2024-02-20 12:00:00	1.07757	1.07988	1.07738	1.07977	16599	2
2024-02-20 13:00:00	1.07977	1.08094	1.07954	1.08038	19905	3
2024-02-20 14:00:00	1.08039	1.08043	1.07937	1.07983	15738	2
2024-02-20 15:00:00	1.07984	1.08056	1.07954	1.0798	18225	2
2024-02-20 16:00:00	1.07981	1.08249	1.07968	1.0823	21168	2
2024-02-20 17:00:00	1.08232	1.08387	1.08183	1.08289	30978	2
2024-02-20 18:00:00	1.0829	1.08295	1.0813	1.08226	24167	2
2024-02-20 19:00:00	1.08227	1.08248	1.08124	1.08129	14266	2
2024-02-20 20:00:00	1.0813	1.08149	1.08091	1.08117	9683	3
2024-02-20 21:00:00	1.08116	1.0813	1.0807	1.08098	7437	2
2024-02-20 22:00:00	1.08098	1.08113	1.08064	1.08064	8202	2
2024-02-20 23:00:00	1.08063	1.08126	1.08043	1.08104	8144	3
2024-02-21 00:00:00	1.08104	1.08107	1.08065	1.08072	3314	3
2024-02-21 01:00:00	1.08071	1.08097	1.08056	1.0809	2197	13
2024-02-21 02:00:00	1.08091	1.0811	1.08074	1.08098	3339	15
2024-02-21 03:00:00	1.081	1.08111	1.08066	1.08102	5041	2
2024-02-21 04:00:00	1.08102	1.08125	1.08055	1.08119	6900	2
2024-02-21 05:00:00	1.0812	1.08172	1.08119	1.0815	6285	3
2024-02-21 06:00:00	1.0815	1.08189	1.08136	1.08178	4502	2
2024-02-21 07:00:00	1.08179	1.08191	1.08135	1.08141	4512	2
2024-02-21 08:00:00	1.08141	1.08165	1.08125	1.0815	4652	3
2024-02-21 09:00:00	1.08151	1.08152	1.08075	1.08114	7456	2
